15_cell_neg_1	15_cell_neg_0
7_cell_neg_19	7_cell_neg_18
7_cell_neg_20	7_cell_neg_19
7_cell_neg_21	7_cell_neg_20
7_cell_neg_22	7_cell_neg_21
7_cell_neg_23	7_cell_neg_22
7_cell_neg_24	7_cell_neg_23
7_cell_neg_25	7_cell_neg_24
7_cell_neg_26	7_cell_neg_25
7_cell_neg_27	7_cell_neg_26
7_cell_neg_28	7_cell_neg_27
7_cell_neg_29	7_cell_neg_28
7_cell_neg_30	7_cell_neg_29
7_cell_neg_31	7_cell_neg_30
7_cell_neg_32	7_cell_neg_31
7_cell_neg_33	7_cell_neg_32
7_cell_neg_34	7_cell_neg_33
7_cell_neg_35	7_cell_neg_34
7_cell_neg_36	7_cell_neg_35
7_cell_neg_37	7_cell_neg_36
7_cell_neg_38	7_cell_neg_37
7_cell_neg_39	7_cell_neg_38
7_cell_neg_40	7_cell_neg_39
7_cell_neg_41	7_cell_neg_40
7_cell_neg_42	7_cell_neg_41
7_cell_neg_43	7_cell_neg_42
7_cell_neg_44	7_cell_neg_43
7_cell_neg_45	7_cell_neg_44
7_cell_neg_46	7_cell_neg_45
7_cell_neg_47	7_cell_neg_46
7_cell_neg_48	7_cell_neg_47
7_cell_neg_49	7_cell_neg_48
7_cell_neg_50	7_cell_neg_49
7_cell_neg_51	7_cell_neg_50
7_cell_neg_52	7_cell_neg_51
7_cell_neg_53	7_cell_neg_52
18_cell_pos_1	18_cell_pos_0
18_cell_pos_2	18_cell_pos_1
18_cell_pos_3	18_cell_pos_2
18_cell_pos_4	18_cell_pos_3
18_cell_pos_5	18_cell_pos_4
18_cell_pos_6	18_cell_pos_5
18_cell_pos_7	18_cell_pos_6
18_cell_pos_8	18_cell_pos_7
18_cell_pos_9	18_cell_pos_8
18_cell_pos_10	18_cell_pos_9
18_cell_pos_11	18_cell_pos_10
18_cell_pos_12	18_cell_pos_11
18_cell_pos_13	18_cell_pos_12
18_cell_pos_14	18_cell_pos_13
18_cell_pos_15	18_cell_pos_14
18_cell_pos_16	18_cell_pos_15
18_cell_pos_17	18_cell_pos_16
18_cell_pos_18	18_cell_pos_17
18_cell_pos_19	18_cell_pos_18
18_cell_pos_20	18_cell_pos_19
18_cell_pos_21	18_cell_pos_20
18_cell_pos_22	18_cell_pos_21
18_cell_pos_23	18_cell_pos_22
18_cell_pos_24	18_cell_pos_23
18_cell_pos_25	18_cell_pos_24
18_cell_pos_26	18_cell_pos_25
18_cell_pos_27	18_cell_pos_26
18_cell_pos_28	18_cell_pos_27
18_cell_pos_29	18_cell_pos_28
18_cell_pos_30	18_cell_pos_29
18_cell_pos_31	18_cell_pos_30
18_cell_pos_32	18_cell_pos_31
18_cell_pos_33	18_cell_pos_32
18_cell_pos_34	18_cell_pos_33
18_cell_pos_35	18_cell_pos_34
18_cell_pos_36	18_cell_pos_35
18_cell_pos_37	18_cell_pos_36
18_cell_pos_38	18_cell_pos_37
18_cell_pos_39	18_cell_pos_38
18_cell_pos_40	18_cell_pos_39
18_cell_pos_41	18_cell_pos_40
18_cell_pos_42	18_cell_pos_41
18_cell_pos_43	18_cell_pos_42
18_cell_pos_44	18_cell_pos_43
18_cell_pos_45	18_cell_pos_44
18_cell_pos_46	18_cell_pos_45
18_cell_pos_47	18_cell_pos_46
18_cell_pos_48	18_cell_pos_47
18_cell_pos_49	18_cell_pos_48
18_cell_pos_50	18_cell_pos_49
18_cell_pos_51	18_cell_pos_50
18_cell_pos_52	18_cell_pos_51
18_cell_pos_53	18_cell_pos_52
18_cell_pos_54	18_cell_pos_53
18_cell_pos_55	18_cell_pos_54
18_cell_pos_56	18_cell_pos_55
18_cell_pos_57	18_cell_pos_56
18_cell_pos_58	18_cell_pos_57
18_cell_pos_59	18_cell_pos_58
18_cell_pos_60	18_cell_pos_59
18_cell_pos_61	18_cell_pos_60
18_cell_pos_62	18_cell_pos_61
18_cell_pos_63	18_cell_pos_62
18_cell_pos_64	18_cell_pos_63
18_cell_pos_65	18_cell_pos_64
18_cell_pos_66	18_cell_pos_65
18_cell_pos_67	18_cell_pos_66
1_cell_pos_1	1_cell_pos_0
1_cell_pos_2	1_cell_pos_1
1_cell_pos_3	1_cell_pos_2
1_cell_pos_4	1_cell_pos_3
1_cell_pos_5	1_cell_pos_4
1_cell_pos_6	1_cell_pos_5
1_cell_pos_7	1_cell_pos_6
1_cell_pos_8	1_cell_pos_7
1_cell_pos_9	1_cell_pos_8
1_cell_pos_10	1_cell_pos_9
1_cell_pos_11	1_cell_pos_10
1_cell_pos_12	1_cell_pos_11
1_cell_pos_13	1_cell_pos_12
1_cell_pos_14	1_cell_pos_13
1_cell_pos_15	1_cell_pos_14
1_cell_pos_16	1_cell_pos_15
1_cell_pos_17	1_cell_pos_16
1_cell_pos_18	1_cell_pos_17
1_cell_pos_19	1_cell_pos_18
1_cell_pos_20	1_cell_pos_19
1_cell_pos_21	1_cell_pos_20
1_cell_pos_22	1_cell_pos_21
1_cell_pos_23	1_cell_pos_22
1_cell_pos_24	1_cell_pos_23
1_cell_pos_25	1_cell_pos_24
1_cell_pos_26	1_cell_pos_25
1_cell_pos_27	1_cell_pos_26
1_cell_pos_28	1_cell_pos_27
1_cell_pos_29	1_cell_pos_28
1_cell_pos_30	1_cell_pos_29
1_cell_pos_31	1_cell_pos_30
1_cell_pos_32	1_cell_pos_31
1_cell_pos_33	1_cell_pos_32
1_cell_pos_34	1_cell_pos_33
1_cell_pos_35	1_cell_pos_34
1_cell_pos_36	1_cell_pos_35
1_cell_pos_37	1_cell_pos_36
1_cell_pos_38	1_cell_pos_37
1_cell_pos_39	1_cell_pos_38
1_cell_pos_40	1_cell_pos_39
1_cell_pos_41	1_cell_pos_40
1_cell_pos_42	1_cell_pos_41
1_cell_pos_43	1_cell_pos_42
1_cell_pos_44	1_cell_pos_43
1_cell_pos_45	1_cell_pos_44
1_cell_pos_46	1_cell_pos_45
1_cell_pos_47	1_cell_pos_46
1_cell_pos_48	1_cell_pos_47
1_cell_pos_49	1_cell_pos_48
1_cell_pos_50	1_cell_pos_49
1_cell_pos_51	1_cell_pos_50
1_cell_pos_52	1_cell_pos_51
1_cell_pos_53	1_cell_pos_52
1_cell_pos_54	1_cell_pos_53
1_cell_pos_55	1_cell_pos_54
1_cell_pos_56	1_cell_pos_55
1_cell_pos_57	1_cell_pos_56
1_cell_pos_58	1_cell_pos_57
1_cell_pos_59	1_cell_pos_58
1_cell_pos_60	1_cell_pos_59
1_cell_pos_61	1_cell_pos_60
1_cell_pos_62	1_cell_pos_61
1_cell_pos_63	1_cell_pos_62
1_cell_pos_64	1_cell_pos_63
1_cell_pos_65	1_cell_pos_64
1_cell_pos_66	1_cell_pos_65
1_cell_pos_67	1_cell_pos_66
1_cell_pos_68	1_cell_pos_67
1_cell_pos_69	1_cell_pos_68
1_cell_pos_70	1_cell_pos_69
1_cell_pos_71	1_cell_pos_70
1_cell_pos_72	1_cell_pos_71
1_cell_pos_73	1_cell_pos_72
1_cell_pos_74	1_cell_pos_73
1_cell_pos_75	1_cell_pos_74
1_cell_pos_76	1_cell_pos_75
1_cell_pos_77	1_cell_pos_76
1_cell_pos_78	1_cell_pos_77
1_cell_pos_79	1_cell_pos_78
1_cell_pos_80	1_cell_pos_79
1_cell_pos_81	1_cell_pos_80
1_cell_pos_82	1_cell_pos_81
1_cell_pos_83	1_cell_pos_82
1_cell_pos_84	1_cell_pos_83
1_cell_pos_85	1_cell_pos_84
1_cell_pos_86	1_cell_pos_85
1_cell_pos_87	1_cell_pos_86
1_cell_pos_88	1_cell_pos_87
1_cell_pos_89	1_cell_pos_88
1_cell_pos_90	1_cell_pos_89
1_cell_pos_91	1_cell_pos_90
1_cell_pos_92	1_cell_pos_91
1_cell_pos_93	1_cell_pos_92
1_cell_pos_94	1_cell_pos_93
1_cell_pos_95	1_cell_pos_94
1_cell_pos_96	1_cell_pos_95
1_cell_pos_97	1_cell_pos_96
1_cell_pos_98	1_cell_pos_97
1_cell_pos_99	1_cell_pos_98
1_cell_pos_100	1_cell_pos_99
1_cell_pos_101	1_cell_pos_100
1_cell_pos_102	1_cell_pos_101
1_cell_pos_103	1_cell_pos_102
1_cell_pos_104	1_cell_pos_103
1_cell_pos_105	1_cell_pos_104
1_cell_pos_106	1_cell_pos_105
1_cell_pos_107	1_cell_pos_106
1_cell_pos_108	1_cell_pos_107
1_cell_pos_109	1_cell_pos_108
1_cell_pos_110	1_cell_pos_109
1_cell_pos_111	1_cell_pos_110
1_cell_pos_112	1_cell_pos_111
1_cell_pos_113	1_cell_pos_112
1_cell_pos_114	1_cell_pos_113
1_cell_pos_115	1_cell_pos_114
1_cell_pos_116	1_cell_pos_115
1_cell_pos_117	1_cell_pos_116
1_cell_pos_118	1_cell_pos_117
1_cell_pos_119	1_cell_pos_118
1_cell_pos_120	1_cell_pos_119
1_cell_pos_121	1_cell_pos_120
1_cell_pos_122	1_cell_pos_121
1_cell_pos_123	1_cell_pos_122
1_cell_pos_124	1_cell_pos_123
1_cell_pos_125	1_cell_pos_124
1_cell_pos_126	1_cell_pos_125
1_cell_pos_127	1_cell_pos_126
1_cell_pos_128	1_cell_pos_127
1_cell_pos_129	1_cell_pos_128
1_cell_pos_130	1_cell_pos_129
1_cell_pos_131	1_cell_pos_130
1_cell_pos_132	1_cell_pos_131
1_cell_pos_133	1_cell_pos_132
1_cell_pos_134	1_cell_pos_133
1_cell_pos_135	1_cell_pos_134
1_cell_pos_136	1_cell_pos_135
1_cell_pos_137	1_cell_pos_136
1_cell_pos_138	1_cell_pos_137
1_cell_pos_139	1_cell_pos_138
1_cell_pos_140	1_cell_pos_139
1_cell_pos_141	1_cell_pos_140
1_cell_pos_142	1_cell_pos_141
1_cell_pos_143	1_cell_pos_142
14_gourmet_neg_1	14_gourmet_neg_0
14_gourmet_neg_2	14_gourmet_neg_1
14_gourmet_neg_3	14_gourmet_neg_2
14_gourmet_neg_4	14_gourmet_neg_3
14_gourmet_neg_5	14_gourmet_neg_4
14_gourmet_neg_6	14_gourmet_neg_5
14_gourmet_neg_7	14_gourmet_neg_6
14_gourmet_neg_8	14_gourmet_neg_7
14_gourmet_neg_9	14_gourmet_neg_8
14_gourmet_neg_10	14_gourmet_neg_9
14_gourmet_neg_11	14_gourmet_neg_10
14_gourmet_neg_12	14_gourmet_neg_11
14_gourmet_neg_13	14_gourmet_neg_12
14_gourmet_neg_14	14_gourmet_neg_13
14_gourmet_neg_15	14_gourmet_neg_14
14_gourmet_neg_16	14_gourmet_neg_15
14_gourmet_neg_17	14_gourmet_neg_16
15_gourmet_neg_1	15_gourmet_neg_0
15_gourmet_neg_2	15_gourmet_neg_1
15_gourmet_neg_3	15_gourmet_neg_2
15_gourmet_neg_4	15_gourmet_neg_3
15_gourmet_neg_5	15_gourmet_neg_4
15_gourmet_neg_6	15_gourmet_neg_5
15_gourmet_neg_7	15_gourmet_neg_6
15_gourmet_neg_8	15_gourmet_neg_7
15_gourmet_neg_9	15_gourmet_neg_8
15_gourmet_neg_10	15_gourmet_neg_9
15_gourmet_neg_11	15_gourmet_neg_10
15_gourmet_neg_12	15_gourmet_neg_11
15_gourmet_neg_13	15_gourmet_neg_12
15_gourmet_neg_14	15_gourmet_neg_13
15_gourmet_neg_15	15_gourmet_neg_14
15_gourmet_neg_16	15_gourmet_neg_15
15_gourmet_neg_17	15_gourmet_neg_16
15_gourmet_pos_1	15_gourmet_pos_0
15_gourmet_pos_2	15_gourmet_pos_1
15_gourmet_pos_3	15_gourmet_pos_2
15_gourmet_pos_4	15_gourmet_pos_3
15_gourmet_pos_5	15_gourmet_pos_4
15_gourmet_pos_6	15_gourmet_pos_5
15_gourmet_pos_7	15_gourmet_pos_6
15_gourmet_pos_8	15_gourmet_pos_7
15_gourmet_pos_9	15_gourmet_pos_8
15_gourmet_pos_10	15_gourmet_pos_9
15_gourmet_pos_11	15_gourmet_pos_10
15_gourmet_pos_12	15_gourmet_pos_11
15_gourmet_pos_13	15_gourmet_pos_12
15_gourmet_pos_14	15_gourmet_pos_13
15_gourmet_pos_15	15_gourmet_pos_14
15_gourmet_pos_16	15_gourmet_pos_15
15_gourmet_pos_17	15_gourmet_pos_16
15_gourmet_pos_18	15_gourmet_pos_17
15_gourmet_pos_19	15_gourmet_pos_18
15_gourmet_pos_20	15_gourmet_pos_19
15_gourmet_pos_21	15_gourmet_pos_20
15_gourmet_pos_22	15_gourmet_pos_21
15_gourmet_pos_23	15_gourmet_pos_22
15_gourmet_pos_24	15_gourmet_pos_23
15_gourmet_pos_25	15_gourmet_pos_24
15_gourmet_pos_26	15_gourmet_pos_25
15_gourmet_pos_27	15_gourmet_pos_26
15_gourmet_pos_28	15_gourmet_pos_27
15_gourmet_pos_29	15_gourmet_pos_28
15_gourmet_pos_30	15_gourmet_pos_29
15_gourmet_pos_31	15_gourmet_pos_30
15_gourmet_pos_32	15_gourmet_pos_31
15_gourmet_pos_33	15_gourmet_pos_32
15_gourmet_pos_34	15_gourmet_pos_33
15_gourmet_pos_35	15_gourmet_pos_34
15_gourmet_pos_36	15_gourmet_pos_35
15_gourmet_pos_37	15_gourmet_pos_36
15_gourmet_pos_38	15_gourmet_pos_37
15_gourmet_pos_39	15_gourmet_pos_38
15_gourmet_pos_40	15_gourmet_pos_39
15_gourmet_pos_41	15_gourmet_pos_40
15_gourmet_pos_42	15_gourmet_pos_41
1_gourmet_pos_1	1_gourmet_pos_0
1_gourmet_pos_2	1_gourmet_pos_1
1_gourmet_pos_3	1_gourmet_pos_2
1_gourmet_pos_4	1_gourmet_pos_3
1_gourmet_pos_5	1_gourmet_pos_4
1_gourmet_pos_6	1_gourmet_pos_5
1_gourmet_pos_7	1_gourmet_pos_6
1_gourmet_pos_8	1_gourmet_pos_7
1_gourmet_pos_9	1_gourmet_pos_8
1_gourmet_pos_10	1_gourmet_pos_9
1_gourmet_pos_11	1_gourmet_pos_10
1_gourmet_pos_12	1_gourmet_pos_11
1_gourmet_pos_13	1_gourmet_pos_12
1_gourmet_pos_14	1_gourmet_pos_13
1_gourmet_pos_15	1_gourmet_pos_14
1_gourmet_pos_16	1_gourmet_pos_15
1_gourmet_pos_17	1_gourmet_pos_16
1_gourmet_pos_18	1_gourmet_pos_17
1_gourmet_pos_19	1_gourmet_pos_18
1_gourmet_pos_20	1_gourmet_pos_19
1_gourmet_pos_21	1_gourmet_pos_20
1_gourmet_pos_22	1_gourmet_pos_21
1_gourmet_pos_23	1_gourmet_pos_22
1_gourmet_pos_24	1_gourmet_pos_23
1_gourmet_pos_25	1_gourmet_pos_24
1_gourmet_pos_26	1_gourmet_pos_25
1_gourmet_pos_27	1_gourmet_pos_26
1_gourmet_pos_28	1_gourmet_pos_27
1_gourmet_pos_29	1_gourmet_pos_28
1_gourmet_pos_30	1_gourmet_pos_29
1_gourmet_pos_31	1_gourmet_pos_30
1_gourmet_pos_32	1_gourmet_pos_31
1_gourmet_pos_33	1_gourmet_pos_32
1_gourmet_pos_34	1_gourmet_pos_33
1_gourmet_pos_35	1_gourmet_pos_34
1_gourmet_pos_36	1_gourmet_pos_35
1_gourmet_pos_37	1_gourmet_pos_36
1_gourmet_pos_38	1_gourmet_pos_37
1_gourmet_pos_39	1_gourmet_pos_38
1_gourmet_pos_40	1_gourmet_pos_39
1_gourmet_pos_41	1_gourmet_pos_40
1_gourmet_pos_42	1_gourmet_pos_41
1_gourmet_pos_43	1_gourmet_pos_42
1_gourmet_pos_44	1_gourmet_pos_43
1_gourmet_pos_45	1_gourmet_pos_44
1_gourmet_pos_46	1_gourmet_pos_45
1_gourmet_pos_47	1_gourmet_pos_46
1_gourmet_pos_48	1_gourmet_pos_47
1_gourmet_pos_49	1_gourmet_pos_48
1_gourmet_pos_50	1_gourmet_pos_49
1_gourmet_pos_51	1_gourmet_pos_50
1_gourmet_pos_52	1_gourmet_pos_51
1_gourmet_pos_53	1_gourmet_pos_52
1_gourmet_pos_54	1_gourmet_pos_53
1_gourmet_pos_55	1_gourmet_pos_54
1_gourmet_pos_56	1_gourmet_pos_55
1_gourmet_pos_57	1_gourmet_pos_56
1_gourmet_pos_58	1_gourmet_pos_57
1_gourmet_pos_59	1_gourmet_pos_58
1_gourmet_pos_60	1_gourmet_pos_59
1_gourmet_pos_61	1_gourmet_pos_60
1_gourmet_pos_62	1_gourmet_pos_61
1_gourmet_pos_63	1_gourmet_pos_62
1_gourmet_pos_64	1_gourmet_pos_63
1_gourmet_pos_65	1_gourmet_pos_64
1_gourmet_pos_66	1_gourmet_pos_65
1_gourmet_pos_67	1_gourmet_pos_66
1_gourmet_pos_68	1_gourmet_pos_67
1_gourmet_pos_69	1_gourmet_pos_68
1_gourmet_pos_70	1_gourmet_pos_69
1_gourmet_pos_71	1_gourmet_pos_70
1_gourmet_pos_72	1_gourmet_pos_71
1_gourmet_pos_73	1_gourmet_pos_72
1_gourmet_pos_74	1_gourmet_pos_73
1_gourmet_pos_75	1_gourmet_pos_74
1_gourmet_pos_76	1_gourmet_pos_75
1_gourmet_pos_77	1_gourmet_pos_76
1_gourmet_pos_78	1_gourmet_pos_77
1_gourmet_pos_79	1_gourmet_pos_78
1_gourmet_pos_80	1_gourmet_pos_79
1_gourmet_pos_81	1_gourmet_pos_80
1_gourmet_pos_82	1_gourmet_pos_81
1_gourmet_pos_83	1_gourmet_pos_82
1_gourmet_pos_84	1_gourmet_pos_83
1_gourmet_pos_85	1_gourmet_pos_84
1_gourmet_pos_86	1_gourmet_pos_85
1_gourmet_pos_87	1_gourmet_pos_86
1_gourmet_pos_88	1_gourmet_pos_87
1_gourmet_pos_89	1_gourmet_pos_88
1_gourmet_pos_90	1_gourmet_pos_89
1_gourmet_pos_91	1_gourmet_pos_90
1_gourmet_pos_92	1_gourmet_pos_91
1_gourmet_pos_93	1_gourmet_pos_92
1_gourmet_pos_94	1_gourmet_pos_93
1_gourmet_pos_95	1_gourmet_pos_94
1_gourmet_pos_96	1_gourmet_pos_95
1_gourmet_pos_97	1_gourmet_pos_96
1_gourmet_pos_98	1_gourmet_pos_97
1_gourmet_pos_99	1_gourmet_pos_98
1_gourmet_pos_100	1_gourmet_pos_99
1_gourmet_pos_101	1_gourmet_pos_100
1_gourmet_pos_102	1_gourmet_pos_101
1_gourmet_pos_103	1_gourmet_pos_102
1_gourmet_pos_104	1_gourmet_pos_103
1_gourmet_pos_105	1_gourmet_pos_104
1_gourmet_pos_106	1_gourmet_pos_105
1_gourmet_pos_107	1_gourmet_pos_106
1_gourmet_pos_108	1_gourmet_pos_107
18_kitchen_neg_1	18_kitchen_neg_0
18_kitchen_neg_2	18_kitchen_neg_1
18_kitchen_neg_3	18_kitchen_neg_2
18_kitchen_neg_4	18_kitchen_neg_3
18_kitchen_neg_5	18_kitchen_neg_4
18_kitchen_neg_6	18_kitchen_neg_5
18_kitchen_neg_7	18_kitchen_neg_6
18_kitchen_neg_8	18_kitchen_neg_7
18_kitchen_neg_9	18_kitchen_neg_8
18_kitchen_neg_10	18_kitchen_neg_9
18_kitchen_neg_11	18_kitchen_neg_10
18_kitchen_neg_12	18_kitchen_neg_11
18_kitchen_neg_13	18_kitchen_neg_12
18_kitchen_neg_14	18_kitchen_neg_13
18_kitchen_neg_15	18_kitchen_neg_14
18_kitchen_neg_16	18_kitchen_neg_15
18_kitchen_neg_17	18_kitchen_neg_16
18_kitchen_neg_18	18_kitchen_neg_17
18_kitchen_neg_19	18_kitchen_neg_18
18_kitchen_neg_20	18_kitchen_neg_19
18_kitchen_neg_21	18_kitchen_neg_20
18_kitchen_neg_22	18_kitchen_neg_21
18_kitchen_neg_23	18_kitchen_neg_22
18_kitchen_neg_24	18_kitchen_neg_23
18_kitchen_neg_25	18_kitchen_neg_24
18_kitchen_neg_26	18_kitchen_neg_25
18_kitchen_neg_27	18_kitchen_neg_26
18_kitchen_neg_28	18_kitchen_neg_27
18_kitchen_neg_29	18_kitchen_neg_28
18_kitchen_neg_30	18_kitchen_neg_29
18_kitchen_neg_31	18_kitchen_neg_30
18_kitchen_neg_32	18_kitchen_neg_31
18_kitchen_neg_33	18_kitchen_neg_32
18_kitchen_neg_34	18_kitchen_neg_33
18_kitchen_neg_35	18_kitchen_neg_34
18_kitchen_neg_36	18_kitchen_neg_35
18_kitchen_neg_37	18_kitchen_neg_36
18_kitchen_neg_38	18_kitchen_neg_37
18_kitchen_neg_39	18_kitchen_neg_38
18_kitchen_neg_40	18_kitchen_neg_39
18_kitchen_neg_41	18_kitchen_neg_40
18_kitchen_neg_42	18_kitchen_neg_41
18_kitchen_neg_43	18_kitchen_neg_42
18_kitchen_neg_44	18_kitchen_neg_43
18_kitchen_neg_45	18_kitchen_neg_44
18_kitchen_neg_46	18_kitchen_neg_45
18_kitchen_neg_47	18_kitchen_neg_46
18_kitchen_neg_48	18_kitchen_neg_47
18_kitchen_neg_49	18_kitchen_neg_48
18_kitchen_neg_50	18_kitchen_neg_49
18_kitchen_neg_51	18_kitchen_neg_50
18_kitchen_neg_52	18_kitchen_neg_51
18_kitchen_neg_53	18_kitchen_neg_52
18_kitchen_neg_54	18_kitchen_neg_53
6_kitchen_neg_1	6_kitchen_neg_0
6_kitchen_neg_2	6_kitchen_neg_1
6_kitchen_neg_3	6_kitchen_neg_2
6_kitchen_neg_4	6_kitchen_neg_3
6_kitchen_neg_5	6_kitchen_neg_4
6_kitchen_neg_6	6_kitchen_neg_5
6_kitchen_neg_7	6_kitchen_neg_6
6_kitchen_neg_8	6_kitchen_neg_7
6_kitchen_neg_9	6_kitchen_neg_8
6_kitchen_neg_10	6_kitchen_neg_9
6_kitchen_neg_11	6_kitchen_neg_10
6_kitchen_neg_12	6_kitchen_neg_11
6_kitchen_neg_13	6_kitchen_neg_12
6_kitchen_neg_14	6_kitchen_neg_13
6_kitchen_neg_15	6_kitchen_neg_14
6_kitchen_neg_16	6_kitchen_neg_15
6_kitchen_neg_17	6_kitchen_neg_16
6_kitchen_neg_18	6_kitchen_neg_17
6_kitchen_neg_19	6_kitchen_neg_18
6_kitchen_neg_20	6_kitchen_neg_19
6_kitchen_neg_21	6_kitchen_neg_20
6_kitchen_neg_22	6_kitchen_neg_21
6_kitchen_neg_23	6_kitchen_neg_22
6_kitchen_neg_24	6_kitchen_neg_23
6_kitchen_neg_25	6_kitchen_neg_24
6_kitchen_neg_26	6_kitchen_neg_25
6_kitchen_neg_27	6_kitchen_neg_26
6_kitchen_neg_29	6_kitchen_neg_28
6_kitchen_neg_30	6_kitchen_neg_29
6_kitchen_neg_31	6_kitchen_neg_30
6_kitchen_neg_32	6_kitchen_neg_31
6_kitchen_neg_33	6_kitchen_neg_32
6_kitchen_neg_34	6_kitchen_neg_33
6_kitchen_neg_35	6_kitchen_neg_34
6_kitchen_neg_36	6_kitchen_neg_35
6_kitchen_neg_37	6_kitchen_neg_36
6_kitchen_neg_38	6_kitchen_neg_37
6_kitchen_neg_39	6_kitchen_neg_38
6_kitchen_neg_40	6_kitchen_neg_39
6_kitchen_neg_41	6_kitchen_neg_40
6_kitchen_neg_42	6_kitchen_neg_41
6_kitchen_neg_43	6_kitchen_neg_42
6_kitchen_neg_44	6_kitchen_neg_43
6_kitchen_neg_45	6_kitchen_neg_44
6_kitchen_neg_46	6_kitchen_neg_45
6_kitchen_neg_47	6_kitchen_neg_46
6_kitchen_neg_48	6_kitchen_neg_47
6_kitchen_neg_49	6_kitchen_neg_48
6_kitchen_neg_50	6_kitchen_neg_49
6_kitchen_neg_51	6_kitchen_neg_50
6_kitchen_neg_52	6_kitchen_neg_51
6_kitchen_neg_53	6_kitchen_neg_52
6_kitchen_neg_54	6_kitchen_neg_53
6_kitchen_neg_55	6_kitchen_neg_54
6_kitchen_neg_56	6_kitchen_neg_55
6_kitchen_neg_57	6_kitchen_neg_56
6_kitchen_neg_58	6_kitchen_neg_57
6_kitchen_neg_59	6_kitchen_neg_58
6_kitchen_neg_60	6_kitchen_neg_59
6_kitchen_neg_61	6_kitchen_neg_60
6_kitchen_neg_62	6_kitchen_neg_61
6_kitchen_neg_63	6_kitchen_neg_62
6_kitchen_neg_64	6_kitchen_neg_63
13_kitchen_pos_1	13_kitchen_pos_0
13_kitchen_pos_2	13_kitchen_pos_1
13_kitchen_pos_3	13_kitchen_pos_2
13_kitchen_pos_4	13_kitchen_pos_3
13_kitchen_pos_5	13_kitchen_pos_4
13_kitchen_pos_6	13_kitchen_pos_5
13_kitchen_pos_7	13_kitchen_pos_6
13_kitchen_pos_8	13_kitchen_pos_7
13_kitchen_pos_9	13_kitchen_pos_8
13_kitchen_pos_10	13_kitchen_pos_9
13_kitchen_pos_11	13_kitchen_pos_10
13_kitchen_pos_12	13_kitchen_pos_11
13_kitchen_pos_13	13_kitchen_pos_12
13_kitchen_pos_14	13_kitchen_pos_13
13_kitchen_pos_15	13_kitchen_pos_14
13_kitchen_pos_16	13_kitchen_pos_15
13_kitchen_pos_17	13_kitchen_pos_16
13_kitchen_pos_18	13_kitchen_pos_17
13_kitchen_pos_19	13_kitchen_pos_18
13_kitchen_pos_20	13_kitchen_pos_19
13_kitchen_pos_21	13_kitchen_pos_20
13_kitchen_pos_22	13_kitchen_pos_21
13_kitchen_pos_23	13_kitchen_pos_22
13_kitchen_pos_24	13_kitchen_pos_23
13_kitchen_pos_25	13_kitchen_pos_24
13_kitchen_pos_26	13_kitchen_pos_25
13_kitchen_pos_27	13_kitchen_pos_26
13_kitchen_pos_28	13_kitchen_pos_27
