17_cell_neg_1	17_cell_neg_2
10_cell_pos_47	10_cell_pos_48
10_cell_pos_48	10_cell_pos_49
10_cell_pos_49	10_cell_pos_50
10_cell_pos_50	10_cell_pos_51
10_cell_pos_51	10_cell_pos_52
10_cell_pos_52	10_cell_pos_53
10_cell_pos_53	10_cell_pos_54
10_cell_pos_54	10_cell_pos_55
10_cell_pos_55	10_cell_pos_56
10_cell_pos_56	10_cell_pos_57
10_cell_pos_57	10_cell_pos_58
10_cell_pos_58	10_cell_pos_59
10_cell_pos_60	10_cell_pos_61
10_cell_pos_61	10_cell_pos_62
10_cell_pos_62	10_cell_pos_63
10_cell_pos_63	10_cell_pos_64
10_cell_pos_64	10_cell_pos_65
10_cell_pos_65	10_cell_pos_66
10_cell_pos_67	10_cell_pos_68
10_cell_pos_68	10_cell_pos_69
10_cell_pos_69	10_cell_pos_70
10_cell_pos_71	10_cell_pos_72
10_cell_pos_72	10_cell_pos_73
10_cell_pos_73	10_cell_pos_74
10_cell_pos_74	10_cell_pos_75
10_cell_pos_75	10_cell_pos_76
10_cell_pos_76	10_cell_pos_77
10_cell_pos_77	10_cell_pos_78
10_cell_pos_78	10_cell_pos_79
10_cell_pos_79	10_cell_pos_80
10_cell_pos_80	10_cell_pos_81
10_cell_pos_81	10_cell_pos_82
10_cell_pos_82	10_cell_pos_83
10_cell_pos_83	10_cell_pos_84
10_cell_pos_84	10_cell_pos_85
10_cell_pos_85	10_cell_pos_86
10_cell_pos_86	10_cell_pos_87
10_cell_pos_87	10_cell_pos_88
12_cell_pos_1	12_cell_pos_2
12_cell_pos_2	12_cell_pos_3
12_cell_pos_3	12_cell_pos_4
12_cell_pos_4	12_cell_pos_5
12_cell_pos_5	12_cell_pos_6
12_cell_pos_6	12_cell_pos_7
12_cell_pos_7	12_cell_pos_8
12_cell_pos_8	12_cell_pos_9
12_cell_pos_9	12_cell_pos_10
12_cell_pos_10	12_cell_pos_11
12_cell_pos_11	12_cell_pos_12
12_cell_pos_12	12_cell_pos_13
12_cell_pos_13	12_cell_pos_14
12_cell_pos_14	12_cell_pos_15
12_cell_pos_15	12_cell_pos_16
12_cell_pos_16	12_cell_pos_17
12_cell_pos_17	12_cell_pos_18
12_cell_pos_18	12_cell_pos_19
12_cell_pos_20	12_cell_pos_21
12_cell_pos_21	12_cell_pos_22
12_cell_pos_22	12_cell_pos_23
12_cell_pos_23	12_cell_pos_24
12_cell_pos_25	12_cell_pos_26
12_cell_pos_26	12_cell_pos_27
12_cell_pos_27	12_cell_pos_28
12_cell_pos_28	12_cell_pos_29
12_cell_pos_29	12_cell_pos_30
12_cell_pos_30	12_cell_pos_31
12_cell_pos_31	12_cell_pos_32
12_cell_pos_32	12_cell_pos_33
12_cell_pos_33	12_cell_pos_34
12_cell_pos_34	12_cell_pos_35
12_cell_pos_35	12_cell_pos_36
12_cell_pos_36	12_cell_pos_37
12_cell_pos_37	12_cell_pos_38
12_cell_pos_38	12_cell_pos_39
12_cell_pos_39	12_cell_pos_40
12_cell_pos_40	12_cell_pos_41
12_cell_pos_41	12_cell_pos_42
12_cell_pos_42	12_cell_pos_43
12_cell_pos_43	12_cell_pos_44
12_cell_pos_44	12_cell_pos_45
12_cell_pos_45	12_cell_pos_46
12_cell_pos_46	12_cell_pos_47
12_cell_pos_47	12_cell_pos_48
12_cell_pos_48	12_cell_pos_49
12_cell_pos_49	12_cell_pos_50
12_cell_pos_50	12_cell_pos_51
12_cell_pos_51	12_cell_pos_52
12_cell_pos_52	12_cell_pos_53
12_cell_pos_53	12_cell_pos_54
12_cell_pos_54	12_cell_pos_55
12_cell_pos_55	12_cell_pos_56
12_cell_pos_56	12_cell_pos_57
12_cell_pos_57	12_cell_pos_58
12_cell_pos_58	12_cell_pos_59
12_cell_pos_59	12_cell_pos_60
12_cell_pos_60	12_cell_pos_61
12_cell_pos_61	12_cell_pos_62
12_cell_pos_62	12_cell_pos_63
12_cell_pos_63	12_cell_pos_64
12_cell_pos_64	12_cell_pos_65
12_cell_pos_65	12_cell_pos_66
12_cell_pos_66	12_cell_pos_67
12_cell_pos_67	12_cell_pos_68
12_cell_pos_68	12_cell_pos_69
12_cell_pos_69	12_cell_pos_70
12_cell_pos_70	12_cell_pos_71
12_cell_pos_71	12_cell_pos_72
12_cell_pos_72	12_cell_pos_73
12_cell_pos_73	12_cell_pos_74
12_cell_pos_74	12_cell_pos_75
12_cell_pos_75	12_cell_pos_76
12_cell_pos_76	12_cell_pos_77
12_cell_pos_77	12_cell_pos_78
12_cell_pos_78	12_cell_pos_79
12_cell_pos_79	12_cell_pos_80
12_cell_pos_80	12_cell_pos_81
12_cell_pos_81	12_cell_pos_82
12_cell_pos_82	12_cell_pos_83
12_cell_pos_83	12_cell_pos_84
12_cell_pos_86	12_cell_pos_87
12_cell_pos_87	12_cell_pos_88
12_cell_pos_88	12_cell_pos_89
12_cell_pos_89	12_cell_pos_90
10_gourmet_neg_1	10_gourmet_neg_2
10_gourmet_neg_2	10_gourmet_neg_3
10_gourmet_neg_3	10_gourmet_neg_4
10_gourmet_neg_4	10_gourmet_neg_5
10_gourmet_neg_5	10_gourmet_neg_6
10_gourmet_neg_6	10_gourmet_neg_7
10_gourmet_neg_7	10_gourmet_neg_8
10_gourmet_neg_8	10_gourmet_neg_9
10_gourmet_neg_9	10_gourmet_neg_10
10_gourmet_neg_10	10_gourmet_neg_11
10_gourmet_neg_11	10_gourmet_neg_12
10_gourmet_neg_12	10_gourmet_neg_13
10_gourmet_neg_13	10_gourmet_neg_14
10_gourmet_neg_14	10_gourmet_neg_15
10_gourmet_neg_15	10_gourmet_neg_16
10_gourmet_neg_16	10_gourmet_neg_17
10_gourmet_neg_17	10_gourmet_neg_18
10_gourmet_neg_18	10_gourmet_neg_19
10_gourmet_neg_19	10_gourmet_neg_20
10_gourmet_neg_20	10_gourmet_neg_21
10_gourmet_neg_21	10_gourmet_neg_22
10_gourmet_neg_22	10_gourmet_neg_23
10_gourmet_neg_23	10_gourmet_neg_24
10_gourmet_neg_24	10_gourmet_neg_25
10_gourmet_neg_25	10_gourmet_neg_26
10_gourmet_neg_26	10_gourmet_neg_27
11_gourmet_neg_1	11_gourmet_neg_2
11_gourmet_neg_2	11_gourmet_neg_3
11_gourmet_neg_3	11_gourmet_neg_4
11_gourmet_neg_4	11_gourmet_neg_5
11_gourmet_neg_5	11_gourmet_neg_6
11_gourmet_neg_6	11_gourmet_neg_7
11_gourmet_neg_7	11_gourmet_neg_8
11_gourmet_neg_8	11_gourmet_neg_9
11_gourmet_neg_9	11_gourmet_neg_10
11_gourmet_neg_10	11_gourmet_neg_11
11_gourmet_neg_11	11_gourmet_neg_12
11_gourmet_neg_12	11_gourmet_neg_13
11_gourmet_neg_14	11_gourmet_neg_15
11_gourmet_neg_15	11_gourmet_neg_16
11_gourmet_neg_16	11_gourmet_neg_17
20_gourmet_pos_1	20_gourmet_pos_2
20_gourmet_pos_2	20_gourmet_pos_3
20_gourmet_pos_3	20_gourmet_pos_4
20_gourmet_pos_4	20_gourmet_pos_5
20_gourmet_pos_5	20_gourmet_pos_6
20_gourmet_pos_6	20_gourmet_pos_7
20_gourmet_pos_7	20_gourmet_pos_8
20_gourmet_pos_8	20_gourmet_pos_9
20_gourmet_pos_9	20_gourmet_pos_10
20_gourmet_pos_10	20_gourmet_pos_11
20_gourmet_pos_11	20_gourmet_pos_12
20_gourmet_pos_12	20_gourmet_pos_13
20_gourmet_pos_13	20_gourmet_pos_14
20_gourmet_pos_14	20_gourmet_pos_15
20_gourmet_pos_15	20_gourmet_pos_16
20_gourmet_pos_16	20_gourmet_pos_17
20_gourmet_pos_18	20_gourmet_pos_19
20_gourmet_pos_19	20_gourmet_pos_20
20_gourmet_pos_20	20_gourmet_pos_21
20_gourmet_pos_21	20_gourmet_pos_22
20_gourmet_pos_22	20_gourmet_pos_23
20_gourmet_pos_23	20_gourmet_pos_24
20_gourmet_pos_24	20_gourmet_pos_25
20_gourmet_pos_25	20_gourmet_pos_26
20_gourmet_pos_26	20_gourmet_pos_27
20_gourmet_pos_27	20_gourmet_pos_28
20_gourmet_pos_28	20_gourmet_pos_29
20_gourmet_pos_29	20_gourmet_pos_30
20_gourmet_pos_30	20_gourmet_pos_31
20_gourmet_pos_31	20_gourmet_pos_32
20_gourmet_pos_32	20_gourmet_pos_33
20_gourmet_pos_33	20_gourmet_pos_34
20_gourmet_pos_34	20_gourmet_pos_35
20_gourmet_pos_35	20_gourmet_pos_36
20_gourmet_pos_36	20_gourmet_pos_37
20_gourmet_pos_37	20_gourmet_pos_38
20_gourmet_pos_38	20_gourmet_pos_39
20_gourmet_pos_39	20_gourmet_pos_40
20_gourmet_pos_40	20_gourmet_pos_41
20_gourmet_pos_41	20_gourmet_pos_42
20_gourmet_pos_42	20_gourmet_pos_43
20_gourmet_pos_43	20_gourmet_pos_44
20_gourmet_pos_44	20_gourmet_pos_45
20_gourmet_pos_45	20_gourmet_pos_46
20_gourmet_pos_46	20_gourmet_pos_47
20_gourmet_pos_47	20_gourmet_pos_48
4_gourmet_pos_1	4_gourmet_pos_2
4_gourmet_pos_2	4_gourmet_pos_3
4_gourmet_pos_3	4_gourmet_pos_4
4_gourmet_pos_4	4_gourmet_pos_5
4_gourmet_pos_5	4_gourmet_pos_6
4_gourmet_pos_6	4_gourmet_pos_7
4_gourmet_pos_7	4_gourmet_pos_8
4_gourmet_pos_8	4_gourmet_pos_9
4_gourmet_pos_9	4_gourmet_pos_10
4_gourmet_pos_10	4_gourmet_pos_11
4_gourmet_pos_11	4_gourmet_pos_12
4_gourmet_pos_12	4_gourmet_pos_13
4_gourmet_pos_13	4_gourmet_pos_14
4_gourmet_pos_14	4_gourmet_pos_15
4_gourmet_pos_15	4_gourmet_pos_16
4_gourmet_pos_16	4_gourmet_pos_17
4_gourmet_pos_17	4_gourmet_pos_18
4_gourmet_pos_18	4_gourmet_pos_19
4_gourmet_pos_19	4_gourmet_pos_20
4_gourmet_pos_20	4_gourmet_pos_21
4_gourmet_pos_21	4_gourmet_pos_22
4_gourmet_pos_22	4_gourmet_pos_23
4_gourmet_pos_23	4_gourmet_pos_24
4_gourmet_pos_24	4_gourmet_pos_25
4_gourmet_pos_25	4_gourmet_pos_26
4_gourmet_pos_26	4_gourmet_pos_27
4_gourmet_pos_27	4_gourmet_pos_28
4_gourmet_pos_28	4_gourmet_pos_29
4_gourmet_pos_30	4_gourmet_pos_31
4_gourmet_pos_31	4_gourmet_pos_32
4_gourmet_pos_32	4_gourmet_pos_33
4_gourmet_pos_33	4_gourmet_pos_34
4_gourmet_pos_34	4_gourmet_pos_35
4_gourmet_pos_35	4_gourmet_pos_36
4_gourmet_pos_36	4_gourmet_pos_37
4_gourmet_pos_37	4_gourmet_pos_38
4_gourmet_pos_38	4_gourmet_pos_39
4_gourmet_pos_39	4_gourmet_pos_40
4_gourmet_pos_40	4_gourmet_pos_41
4_gourmet_pos_41	4_gourmet_pos_42
4_gourmet_pos_42	4_gourmet_pos_43
4_gourmet_pos_43	4_gourmet_pos_44
4_gourmet_pos_44	4_gourmet_pos_45
4_gourmet_pos_45	4_gourmet_pos_46
4_gourmet_pos_46	4_gourmet_pos_47
4_gourmet_pos_48	4_gourmet_pos_49
4_gourmet_pos_49	4_gourmet_pos_50
4_gourmet_pos_50	4_gourmet_pos_51
4_gourmet_pos_51	4_gourmet_pos_52
4_gourmet_pos_52	4_gourmet_pos_53
4_gourmet_pos_53	4_gourmet_pos_54
4_gourmet_pos_54	4_gourmet_pos_55
4_gourmet_pos_55	4_gourmet_pos_56
4_gourmet_pos_56	4_gourmet_pos_57
4_gourmet_pos_57	4_gourmet_pos_58
4_gourmet_pos_58	4_gourmet_pos_59
4_gourmet_pos_59	4_gourmet_pos_60
4_gourmet_pos_60	4_gourmet_pos_61
4_gourmet_pos_61	4_gourmet_pos_62
4_gourmet_pos_62	4_gourmet_pos_63
4_gourmet_pos_63	4_gourmet_pos_64
4_gourmet_pos_64	4_gourmet_pos_65
4_gourmet_pos_65	4_gourmet_pos_66
4_gourmet_pos_66	4_gourmet_pos_67
19_kitchen_neg_3	19_kitchen_neg_4
19_kitchen_neg_4	19_kitchen_neg_5
19_kitchen_neg_5	19_kitchen_neg_6
19_kitchen_neg_6	19_kitchen_neg_7
19_kitchen_neg_7	19_kitchen_neg_8
19_kitchen_neg_8	19_kitchen_neg_9
19_kitchen_neg_9	19_kitchen_neg_10
19_kitchen_neg_10	19_kitchen_neg_11
19_kitchen_neg_11	19_kitchen_neg_12
19_kitchen_neg_12	19_kitchen_neg_13
19_kitchen_neg_13	19_kitchen_neg_14
19_kitchen_neg_14	19_kitchen_neg_15
19_kitchen_neg_15	19_kitchen_neg_16
19_kitchen_neg_16	19_kitchen_neg_17
19_kitchen_neg_17	19_kitchen_neg_18
19_kitchen_neg_18	19_kitchen_neg_19
19_kitchen_neg_19	19_kitchen_neg_20
19_kitchen_neg_20	19_kitchen_neg_21
19_kitchen_neg_21	19_kitchen_neg_22
19_kitchen_neg_22	19_kitchen_neg_23
19_kitchen_neg_23	19_kitchen_neg_24
19_kitchen_neg_24	19_kitchen_neg_25
19_kitchen_neg_25	19_kitchen_neg_26
19_kitchen_neg_26	19_kitchen_neg_27
19_kitchen_neg_27	19_kitchen_neg_28
19_kitchen_neg_28	19_kitchen_neg_29
19_kitchen_neg_29	19_kitchen_neg_30
19_kitchen_neg_30	19_kitchen_neg_31
19_kitchen_neg_31	19_kitchen_neg_32
19_kitchen_neg_32	19_kitchen_neg_33
19_kitchen_neg_33	19_kitchen_neg_34
19_kitchen_neg_34	19_kitchen_neg_35
19_kitchen_neg_35	19_kitchen_neg_36
19_kitchen_neg_36	19_kitchen_neg_37
2_kitchen_neg_1	2_kitchen_neg_2
2_kitchen_neg_2	2_kitchen_neg_3
2_kitchen_neg_3	2_kitchen_neg_4
2_kitchen_neg_4	2_kitchen_neg_5
2_kitchen_neg_5	2_kitchen_neg_6
2_kitchen_neg_6	2_kitchen_neg_7
2_kitchen_neg_7	2_kitchen_neg_8
2_kitchen_neg_8	2_kitchen_neg_9
2_kitchen_neg_9	2_kitchen_neg_10
2_kitchen_neg_10	2_kitchen_neg_11
2_kitchen_neg_11	2_kitchen_neg_12
2_kitchen_neg_12	2_kitchen_neg_13
2_kitchen_neg_13	2_kitchen_neg_14
2_kitchen_neg_14	2_kitchen_neg_15
2_kitchen_neg_15	2_kitchen_neg_16
2_kitchen_neg_16	2_kitchen_neg_17
2_kitchen_neg_18	2_kitchen_neg_19
2_kitchen_neg_19	2_kitchen_neg_20
2_kitchen_neg_20	2_kitchen_neg_21
2_kitchen_neg_21	2_kitchen_neg_22
2_kitchen_neg_22	2_kitchen_neg_23
2_kitchen_neg_23	2_kitchen_neg_24
2_kitchen_neg_24	2_kitchen_neg_25
2_kitchen_neg_25	2_kitchen_neg_26
2_kitchen_neg_26	2_kitchen_neg_27
2_kitchen_neg_27	2_kitchen_neg_28
2_kitchen_neg_28	2_kitchen_neg_29
2_kitchen_neg_29	2_kitchen_neg_30
2_kitchen_neg_30	2_kitchen_neg_31
2_kitchen_neg_31	2_kitchen_neg_32
2_kitchen_neg_32	2_kitchen_neg_33
2_kitchen_neg_33	2_kitchen_neg_34
2_kitchen_neg_34	2_kitchen_neg_35
2_kitchen_neg_35	2_kitchen_neg_36
2_kitchen_neg_36	2_kitchen_neg_37
2_kitchen_neg_37	2_kitchen_neg_38
2_kitchen_neg_38	2_kitchen_neg_39
2_kitchen_neg_39	2_kitchen_neg_40
2_kitchen_neg_40	2_kitchen_neg_41
2_kitchen_neg_41	2_kitchen_neg_42
2_kitchen_neg_42	2_kitchen_neg_43
2_kitchen_neg_43	2_kitchen_neg_44
2_kitchen_neg_44	2_kitchen_neg_45
2_kitchen_neg_45	2_kitchen_neg_46
2_kitchen_neg_46	2_kitchen_neg_47
2_kitchen_neg_47	2_kitchen_neg_48
2_kitchen_neg_48	2_kitchen_neg_49
2_kitchen_neg_50	2_kitchen_neg_51
2_kitchen_neg_51	2_kitchen_neg_52
2_kitchen_neg_52	2_kitchen_neg_53
2_kitchen_neg_53	2_kitchen_neg_54
2_kitchen_neg_54	2_kitchen_neg_55
2_kitchen_neg_55	2_kitchen_neg_56
2_kitchen_neg_56	2_kitchen_neg_57
2_kitchen_neg_57	2_kitchen_neg_58
2_kitchen_neg_58	2_kitchen_neg_59
2_kitchen_neg_59	2_kitchen_neg_60
2_kitchen_neg_60	2_kitchen_neg_61
2_kitchen_neg_61	2_kitchen_neg_62
2_kitchen_neg_62	2_kitchen_neg_63
2_kitchen_neg_63	2_kitchen_neg_64
2_kitchen_neg_64	2_kitchen_neg_65
2_kitchen_neg_65	2_kitchen_neg_66
2_kitchen_neg_66	2_kitchen_neg_67
2_kitchen_neg_67	2_kitchen_neg_68
2_kitchen_neg_68	2_kitchen_neg_69
2_kitchen_neg_69	2_kitchen_neg_70
2_kitchen_neg_70	2_kitchen_neg_71
2_kitchen_neg_72	2_kitchen_neg_73
2_kitchen_neg_73	2_kitchen_neg_74
2_kitchen_neg_74	2_kitchen_neg_75
2_kitchen_neg_75	2_kitchen_neg_76
2_kitchen_neg_76	2_kitchen_neg_77
2_kitchen_neg_77	2_kitchen_neg_78
2_kitchen_neg_78	2_kitchen_neg_79
2_kitchen_neg_79	2_kitchen_neg_80
2_kitchen_neg_80	2_kitchen_neg_81
2_kitchen_neg_81	2_kitchen_neg_82
2_kitchen_neg_82	2_kitchen_neg_83
2_kitchen_neg_83	2_kitchen_neg_84
2_kitchen_neg_84	2_kitchen_neg_85
2_kitchen_neg_85	2_kitchen_neg_86
2_kitchen_neg_86	2_kitchen_neg_87
2_kitchen_neg_87	2_kitchen_neg_88
2_kitchen_neg_88	2_kitchen_neg_89
2_kitchen_neg_89	2_kitchen_neg_90
2_kitchen_neg_90	2_kitchen_neg_91
2_kitchen_neg_91	2_kitchen_neg_92
2_kitchen_neg_92	2_kitchen_neg_93
2_kitchen_neg_93	2_kitchen_neg_94
2_kitchen_neg_94	2_kitchen_neg_95
2_kitchen_neg_95	2_kitchen_neg_96
2_kitchen_neg_96	2_kitchen_neg_97
2_kitchen_neg_97	2_kitchen_neg_98
2_kitchen_neg_98	2_kitchen_neg_99
2_kitchen_neg_99	2_kitchen_neg_100
2_kitchen_neg_100	2_kitchen_neg_101
2_kitchen_neg_101	2_kitchen_neg_102
2_kitchen_neg_102	2_kitchen_neg_103
2_kitchen_neg_103	2_kitchen_neg_104
2_kitchen_neg_104	2_kitchen_neg_105
2_kitchen_neg_105	2_kitchen_neg_106
2_kitchen_neg_106	2_kitchen_neg_107
2_kitchen_neg_107	2_kitchen_neg_108
2_kitchen_neg_108	2_kitchen_neg_109
2_kitchen_neg_109	2_kitchen_neg_110
2_kitchen_neg_110	2_kitchen_neg_111
2_kitchen_neg_111	2_kitchen_neg_112
2_kitchen_neg_112	2_kitchen_neg_113
2_kitchen_neg_113	2_kitchen_neg_114
2_kitchen_neg_114	2_kitchen_neg_115
2_kitchen_neg_115	2_kitchen_neg_116
2_kitchen_neg_116	2_kitchen_neg_117
2_kitchen_neg_117	2_kitchen_neg_118
2_kitchen_neg_118	2_kitchen_neg_119
2_kitchen_neg_119	2_kitchen_neg_120
2_kitchen_neg_120	2_kitchen_neg_121
2_kitchen_neg_121	2_kitchen_neg_122
2_kitchen_neg_122	2_kitchen_neg_123
2_kitchen_neg_123	2_kitchen_neg_124
2_kitchen_neg_124	2_kitchen_neg_125
2_kitchen_neg_125	2_kitchen_neg_126
16_kitchen_pos_1	16_kitchen_pos_2
16_kitchen_pos_2	16_kitchen_pos_3
16_kitchen_pos_3	16_kitchen_pos_4
16_kitchen_pos_4	16_kitchen_pos_5
16_kitchen_pos_5	16_kitchen_pos_6
16_kitchen_pos_6	16_kitchen_pos_7
16_kitchen_pos_7	16_kitchen_pos_8
16_kitchen_pos_8	16_kitchen_pos_9
16_kitchen_pos_9	16_kitchen_pos_10
16_kitchen_pos_10	16_kitchen_pos_11
16_kitchen_pos_11	16_kitchen_pos_12
16_kitchen_pos_12	16_kitchen_pos_13
16_kitchen_pos_13	16_kitchen_pos_14
16_kitchen_pos_14	16_kitchen_pos_15
16_kitchen_pos_15	16_kitchen_pos_16
16_kitchen_pos_16	16_kitchen_pos_17
16_kitchen_pos_17	16_kitchen_pos_18
16_kitchen_pos_18	16_kitchen_pos_19
16_kitchen_pos_20	16_kitchen_pos_21
16_kitchen_pos_21	16_kitchen_pos_22
16_kitchen_pos_22	16_kitchen_pos_23
16_kitchen_pos_23	16_kitchen_pos_24
16_kitchen_pos_24	16_kitchen_pos_25
