16_cell_neg_4	16_cell_neg_5
5_cell_neg_34	5_cell_neg_35
5_cell_neg_35	5_cell_neg_36
5_cell_neg_36	5_cell_neg_37
5_cell_neg_37	5_cell_neg_38
5_cell_neg_38	5_cell_neg_39
5_cell_neg_39	5_cell_neg_40
5_cell_neg_40	5_cell_neg_41
5_cell_neg_41	5_cell_neg_42
5_cell_neg_42	5_cell_neg_43
5_cell_neg_43	5_cell_neg_44
5_cell_neg_44	5_cell_neg_45
5_cell_neg_45	5_cell_neg_46
5_cell_neg_46	5_cell_neg_47
5_cell_neg_47	5_cell_neg_48
5_cell_neg_48	5_cell_neg_49
5_cell_neg_49	5_cell_neg_50
5_cell_neg_50	5_cell_neg_51
5_cell_neg_51	5_cell_neg_52
5_cell_neg_52	5_cell_neg_53
5_cell_neg_53	5_cell_neg_54
5_cell_neg_54	5_cell_neg_55
5_cell_neg_55	5_cell_neg_56
5_cell_neg_56	5_cell_neg_57
5_cell_neg_57	5_cell_neg_58
5_cell_neg_58	5_cell_neg_59
5_cell_neg_63	5_cell_neg_64
5_cell_neg_64	5_cell_neg_65
5_cell_neg_65	5_cell_neg_66
5_cell_neg_66	5_cell_neg_67
5_cell_neg_67	5_cell_neg_68
16_cell_pos_1	16_cell_pos_2
16_cell_pos_2	16_cell_pos_3
16_cell_pos_9	16_cell_pos_10
16_cell_pos_20	16_cell_pos_21
16_cell_pos_21	16_cell_pos_22
16_cell_pos_22	16_cell_pos_23
16_cell_pos_23	16_cell_pos_24
16_cell_pos_24	16_cell_pos_25
16_cell_pos_25	16_cell_pos_26
16_cell_pos_26	16_cell_pos_27
16_cell_pos_27	16_cell_pos_28
16_cell_pos_28	16_cell_pos_29
16_cell_pos_29	16_cell_pos_30
16_cell_pos_30	16_cell_pos_31
16_cell_pos_31	16_cell_pos_32
16_cell_pos_32	16_cell_pos_33
16_cell_pos_33	16_cell_pos_34
16_cell_pos_34	16_cell_pos_35
16_cell_pos_35	16_cell_pos_36
16_cell_pos_36	16_cell_pos_37
16_cell_pos_37	16_cell_pos_38
16_cell_pos_38	16_cell_pos_39
16_cell_pos_39	16_cell_pos_40
16_cell_pos_53	16_cell_pos_54
16_cell_pos_80	16_cell_pos_81
16_cell_pos_81	16_cell_pos_82
7_cell_pos_2	7_cell_pos_3
7_cell_pos_28	7_cell_pos_29
7_cell_pos_29	7_cell_pos_30
7_cell_pos_43	7_cell_pos_44
7_cell_pos_44	7_cell_pos_45
7_cell_pos_45	7_cell_pos_46
7_cell_pos_48	7_cell_pos_49
7_cell_pos_49	7_cell_pos_50
7_cell_pos_61	7_cell_pos_62
7_cell_pos_62	7_cell_pos_63
7_cell_pos_63	7_cell_pos_64
7_cell_pos_77	7_cell_pos_78
7_cell_pos_91	7_cell_pos_92
17_gourmet_neg_2	17_gourmet_neg_3
1_gourmet_neg_5	1_gourmet_neg_6
1_gourmet_neg_13	1_gourmet_neg_14
1_gourmet_neg_14	1_gourmet_neg_15
1_gourmet_neg_15	1_gourmet_neg_16
1_gourmet_neg_16	1_gourmet_neg_17
1_gourmet_neg_59	1_gourmet_neg_60
1_gourmet_neg_66	1_gourmet_neg_67
1_gourmet_neg_67	1_gourmet_neg_68
1_gourmet_neg_68	1_gourmet_neg_69
1_gourmet_neg_69	1_gourmet_neg_70
1_gourmet_neg_70	1_gourmet_neg_71
1_gourmet_neg_71	1_gourmet_neg_72
1_gourmet_neg_72	1_gourmet_neg_73
1_gourmet_neg_73	1_gourmet_neg_74
1_gourmet_neg_74	1_gourmet_neg_75
1_gourmet_neg_75	1_gourmet_neg_76
1_gourmet_neg_76	1_gourmet_neg_77
1_gourmet_neg_77	1_gourmet_neg_78
1_gourmet_neg_78	1_gourmet_neg_79
1_gourmet_neg_79	1_gourmet_neg_80
1_gourmet_neg_80	1_gourmet_neg_81
1_gourmet_neg_81	1_gourmet_neg_82
1_gourmet_neg_82	1_gourmet_neg_83
1_gourmet_neg_83	1_gourmet_neg_84
1_gourmet_neg_84	1_gourmet_neg_85
1_gourmet_neg_85	1_gourmet_neg_86
1_gourmet_neg_86	1_gourmet_neg_87
1_gourmet_neg_87	1_gourmet_neg_88
1_gourmet_neg_88	1_gourmet_neg_89
1_gourmet_neg_89	1_gourmet_neg_90
1_gourmet_neg_90	1_gourmet_neg_91
1_gourmet_neg_91	1_gourmet_neg_92
1_gourmet_neg_92	1_gourmet_neg_93
1_gourmet_neg_93	1_gourmet_neg_94
1_gourmet_neg_94	1_gourmet_neg_95
1_gourmet_neg_95	1_gourmet_neg_96
1_gourmet_neg_96	1_gourmet_neg_97
1_gourmet_neg_97	1_gourmet_neg_98
1_gourmet_neg_98	1_gourmet_neg_99
1_gourmet_neg_99	1_gourmet_neg_100
1_gourmet_neg_100	1_gourmet_neg_101
2_gourmet_pos_7	2_gourmet_pos_8
2_gourmet_pos_8	2_gourmet_pos_9
2_gourmet_pos_9	2_gourmet_pos_10
2_gourmet_pos_10	2_gourmet_pos_11
2_gourmet_pos_51	2_gourmet_pos_52
2_gourmet_pos_52	2_gourmet_pos_53
2_gourmet_pos_53	2_gourmet_pos_54
2_gourmet_pos_54	2_gourmet_pos_55
2_gourmet_pos_58	2_gourmet_pos_59
5_gourmet_pos_10	5_gourmet_pos_11
5_gourmet_pos_11	5_gourmet_pos_12
15_kitchen_neg_1	15_kitchen_neg_2
15_kitchen_neg_4	15_kitchen_neg_5
15_kitchen_neg_15	15_kitchen_neg_16
15_kitchen_neg_29	15_kitchen_neg_30
15_kitchen_neg_35	15_kitchen_neg_36
15_kitchen_neg_36	15_kitchen_neg_37
15_kitchen_neg_37	15_kitchen_neg_38
15_kitchen_neg_38	15_kitchen_neg_39
15_kitchen_neg_39	15_kitchen_neg_40
5_kitchen_neg_11	5_kitchen_neg_12
5_kitchen_neg_18	5_kitchen_neg_19
5_kitchen_neg_19	5_kitchen_neg_20
5_kitchen_neg_20	5_kitchen_neg_21
5_kitchen_neg_21	5_kitchen_neg_22
5_kitchen_neg_22	5_kitchen_neg_23
5_kitchen_neg_40	5_kitchen_neg_41
5_kitchen_neg_41	5_kitchen_neg_42
5_kitchen_neg_42	5_kitchen_neg_43
5_kitchen_neg_43	5_kitchen_neg_44
5_kitchen_neg_44	5_kitchen_neg_45
5_kitchen_neg_45	5_kitchen_neg_46
5_kitchen_neg_46	5_kitchen_neg_47
5_kitchen_neg_47	5_kitchen_neg_48
5_kitchen_neg_48	5_kitchen_neg_49
5_kitchen_neg_49	5_kitchen_neg_50
5_kitchen_neg_50	5_kitchen_neg_51
5_kitchen_neg_51	5_kitchen_neg_52
5_kitchen_neg_52	5_kitchen_neg_53
5_kitchen_neg_53	5_kitchen_neg_54
5_kitchen_neg_54	5_kitchen_neg_55
5_kitchen_neg_55	5_kitchen_neg_56
5_kitchen_neg_56	5_kitchen_neg_57
5_kitchen_neg_57	5_kitchen_neg_58
5_kitchen_neg_58	5_kitchen_neg_59
5_kitchen_neg_59	5_kitchen_neg_60
5_kitchen_neg_60	5_kitchen_neg_61
5_kitchen_neg_61	5_kitchen_neg_62
5_kitchen_neg_62	5_kitchen_neg_63
5_kitchen_neg_63	5_kitchen_neg_64
5_kitchen_neg_64	5_kitchen_neg_65
5_kitchen_neg_65	5_kitchen_neg_66
5_kitchen_neg_66	5_kitchen_neg_67
5_kitchen_neg_67	5_kitchen_neg_68
5_kitchen_neg_68	5_kitchen_neg_69
19_kitchen_pos_20	19_kitchen_pos_21
19_kitchen_pos_21	19_kitchen_pos_22
19_kitchen_pos_22	19_kitchen_pos_23
19_kitchen_pos_23	19_kitchen_pos_24
19_kitchen_pos_24	19_kitchen_pos_25
19_kitchen_pos_25	19_kitchen_pos_26
19_kitchen_pos_29	19_kitchen_pos_30
19_kitchen_pos_41	19_kitchen_pos_42
19_kitchen_pos_42	19_kitchen_pos_43
19_kitchen_pos_43	19_kitchen_pos_44
19_kitchen_pos_44	19_kitchen_pos_45
19_kitchen_pos_45	19_kitchen_pos_46
19_kitchen_pos_46	19_kitchen_pos_47
19_kitchen_pos_47	19_kitchen_pos_48
19_kitchen_pos_48	19_kitchen_pos_49
19_kitchen_pos_49	19_kitchen_pos_50
19_kitchen_pos_50	19_kitchen_pos_51
19_kitchen_pos_51	19_kitchen_pos_52
19_kitchen_pos_52	19_kitchen_pos_53
19_kitchen_pos_53	19_kitchen_pos_54
19_kitchen_pos_54	19_kitchen_pos_55
19_kitchen_pos_55	19_kitchen_pos_56
19_kitchen_pos_65	19_kitchen_pos_66
19_kitchen_pos_66	19_kitchen_pos_67
7_kitchen_pos_6	7_kitchen_pos_7
7_kitchen_pos_9	7_kitchen_pos_10
7_kitchen_pos_19	7_kitchen_pos_20
7_kitchen_pos_24	7_kitchen_pos_25
7_kitchen_pos_25	7_kitchen_pos_26
7_kitchen_pos_26	7_kitchen_pos_27
7_kitchen_pos_27	7_kitchen_pos_28
7_kitchen_pos_32	7_kitchen_pos_33
7_kitchen_pos_33	7_kitchen_pos_34
7_kitchen_pos_36	7_kitchen_pos_37
7_kitchen_pos_37	7_kitchen_pos_38
7_kitchen_pos_38	7_kitchen_pos_39
7_kitchen_pos_39	7_kitchen_pos_40
7_kitchen_pos_42	7_kitchen_pos_43
7_kitchen_pos_46	7_kitchen_pos_47
7_kitchen_pos_58	7_kitchen_pos_59
7_kitchen_pos_59	7_kitchen_pos_60
7_kitchen_pos_60	7_kitchen_pos_61
