PhraseIDs	Polarity
6_cell_pos_73	negative
6_cell_pos_74	negative
6_cell_pos_75	positive
6_cell_pos_76	positive
6_cell_pos_77	positive
6_cell_pos_78	positive
6_cell_pos_79	positive
6_cell_pos_80	negative
6_cell_pos_81	negative
6_cell_pos_82	positive
6_cell_pos_83	positive
6_cell_pos_84	positive
6_cell_pos_85	positive
6_cell_pos_86	positive
6_cell_pos_87	positive
6_cell_pos_88	positive
6_cell_pos_89	positive
6_cell_pos_90	negative
6_cell_pos_91	positive
6_cell_pos_92	positive
6_cell_pos_93	positive
6_cell_pos_94	positive
6_cell_pos_95	positive
1_kitchen_pos_1	negative
1_kitchen_pos_2	negative
1_kitchen_pos_3	negative
1_kitchen_pos_4	negative
1_kitchen_pos_5	negative
1_kitchen_pos_6	positive
1_kitchen_pos_7	positive
1_kitchen_pos_8	positive
1_kitchen_pos_9	positive
1_kitchen_pos_10	positive
1_kitchen_pos_11	positive
1_kitchen_pos_12	positive
1_kitchen_pos_13	positive
1_kitchen_pos_14	positive
1_kitchen_pos_15	positive
1_kitchen_pos_16	positive
1_kitchen_pos_17	positive
1_kitchen_pos_18	positive
1_kitchen_pos_19	positive
1_kitchen_pos_20	positive
1_kitchen_pos_21	positive
1_kitchen_pos_22	positive
1_kitchen_pos_23	positive
1_kitchen_pos_24	positive
1_kitchen_pos_25	positive
1_kitchen_pos_26	positive
1_kitchen_pos_27	positive
1_kitchen_pos_28	positive
1_kitchen_pos_29	positive
1_kitchen_pos_30	positive
1_kitchen_pos_31	positive
1_kitchen_pos_32	positive
1_kitchen_pos_33	positive
1_kitchen_pos_34	positive
1_kitchen_pos_35	positive
1_kitchen_pos_36	positive
1_kitchen_pos_37	positive
1_kitchen_pos_38	negative
1_kitchen_pos_39	negative
1_kitchen_pos_40	positive
1_kitchen_pos_41	positive
1_kitchen_pos_42	positive
1_kitchen_pos_43	positive
1_kitchen_pos_44	positive
1_kitchen_pos_45	positive
1_kitchen_pos_46	positive
1_kitchen_pos_47	positive
1_kitchen_pos_48	positive
1_kitchen_pos_49	positive
1_kitchen_pos_50	positive
1_kitchen_pos_51	positive
1_kitchen_pos_52	positive
1_kitchen_pos_53	positive
1_kitchen_pos_54	positive
1_kitchen_pos_55	negative
1_kitchen_pos_56	negative
1_kitchen_pos_57	negative
1_kitchen_pos_58	negative
1_kitchen_pos_59	negative
1_kitchen_pos_60	negative
1_kitchen_pos_61	negative
1_kitchen_pos_62	negative
1_kitchen_pos_63	positive
1_kitchen_pos_64	positive
1_kitchen_pos_65	positive
1_kitchen_pos_66	positive
1_kitchen_pos_67	negative
1_kitchen_pos_68	negative
1_kitchen_pos_69	negative
1_kitchen_pos_70	negative
1_kitchen_pos_71	negative
1_kitchen_pos_72	negative
1_kitchen_pos_73	negative
1_kitchen_pos_74	negative
1_kitchen_pos_75	negative
1_kitchen_pos_76	negative
1_kitchen_pos_77	negative
1_kitchen_pos_78	negative
1_kitchen_pos_79	negative
1_kitchen_pos_80	negative
1_kitchen_pos_81	negative
1_kitchen_pos_82	negative
1_kitchen_pos_83	negative
1_kitchen_pos_84	negative
1_kitchen_pos_85	negative
1_kitchen_pos_86	negative
1_kitchen_pos_87	negative
1_kitchen_pos_88	negative
1_kitchen_pos_89	negative
1_kitchen_pos_90	negative
1_kitchen_pos_91	negative
1_kitchen_pos_92	negative
1_kitchen_pos_93	negative
1_kitchen_pos_94	negative
1_kitchen_pos_95	negative
1_kitchen_pos_96	negative
1_kitchen_pos_97	negative
1_kitchen_pos_98	negative
1_kitchen_pos_99	negative
1_kitchen_pos_100	negative
1_kitchen_pos_101	negative
1_kitchen_pos_102	negative
1_kitchen_pos_103	negative
1_kitchen_pos_104	negative
1_kitchen_pos_105	negative
1_kitchen_pos_106	negative
1_kitchen_pos_107	negative
1_kitchen_pos_108	negative
1_kitchen_pos_109	negative
1_kitchen_pos_110	negative
1_kitchen_pos_111	negative
1_kitchen_pos_112	negative
1_kitchen_pos_113	negative
1_kitchen_pos_114	positive
1_kitchen_pos_115	negative
1_kitchen_pos_116	negative
1_kitchen_pos_117	negative
1_kitchen_pos_118	negative
1_kitchen_pos_119	negative
1_kitchen_pos_120	negative
1_kitchen_pos_121	negative
1_kitchen_pos_122	negative
1_kitchen_pos_123	negative
1_kitchen_pos_124	negative
1_kitchen_pos_125	negative
1_kitchen_pos_126	negative
1_kitchen_pos_127	negative
1_kitchen_pos_128	positive
1_kitchen_pos_129	negative
1_kitchen_pos_130	negative
1_kitchen_pos_131	negative
1_kitchen_pos_132	negative
1_kitchen_pos_133	negative
1_kitchen_pos_134	negative
1_kitchen_pos_135	negative
1_kitchen_pos_136	negative
1_kitchen_pos_137	negative
1_kitchen_pos_138	negative
1_kitchen_pos_139	negative
1_kitchen_pos_140	negative
1_kitchen_pos_141	negative
1_kitchen_pos_142	negative
1_kitchen_pos_143	positive
1_kitchen_pos_144	positive
1_kitchen_pos_145	negative
1_kitchen_pos_146	negative
1_kitchen_pos_147	negative
1_kitchen_pos_148	negative
1_kitchen_pos_149	positive
1_kitchen_pos_150	positive
1_kitchen_pos_151	negative
1_kitchen_pos_152	negative
1_kitchen_pos_153	negative
1_kitchen_pos_154	negative
1_kitchen_pos_155	negative
1_kitchen_pos_156	negative
1_kitchen_pos_157	negative
1_kitchen_pos_158	negative
1_kitchen_pos_159	negative
1_kitchen_pos_160	negative
1_kitchen_pos_161	negative
1_kitchen_pos_162	positive
1_kitchen_pos_163	positive
1_kitchen_pos_164	positive
1_kitchen_pos_165	positive
1_kitchen_pos_166	positive
1_kitchen_pos_167	positive
1_kitchen_pos_168	negative
4_kitchen_neg_1	negative
4_kitchen_neg_2	negative
4_kitchen_neg_3	negative
4_kitchen_neg_4	negative
4_kitchen_neg_5	negative
4_kitchen_neg_6	negative
4_kitchen_neg_7	negative
4_kitchen_neg_8	negative
4_kitchen_neg_9	negative
4_kitchen_neg_10	negative
4_kitchen_neg_11	negative
4_kitchen_neg_12	negative
4_kitchen_neg_13	negative
4_kitchen_neg_14	negative
4_kitchen_neg_15	negative
4_kitchen_neg_16	negative
4_kitchen_neg_17	negative
4_kitchen_neg_18	negative
4_kitchen_neg_19	negative
4_kitchen_neg_20	negative
4_kitchen_neg_21	negative
4_kitchen_neg_22	negative
4_kitchen_neg_23	negative
4_kitchen_neg_24	negative
4_kitchen_neg_25	negative
4_kitchen_neg_26	negative
4_kitchen_neg_27	negative
4_kitchen_neg_28	negative
4_kitchen_neg_29	negative
4_kitchen_neg_30	negative
4_kitchen_neg_31	negative
4_kitchen_neg_32	negative
4_kitchen_neg_33	negative
4_kitchen_neg_34	positive
4_kitchen_neg_35	negative
4_kitchen_neg_36	negative
4_kitchen_neg_37	negative
4_kitchen_neg_38	negative
4_kitchen_neg_39	negative
4_kitchen_neg_40	negative
4_kitchen_neg_41	negative
4_kitchen_neg_42	positive
4_kitchen_neg_43	positive
4_kitchen_neg_44	negative
4_kitchen_neg_45	negative
4_kitchen_neg_46	negative
4_kitchen_neg_47	negative
9_gourmet_pos_1	positive
9_gourmet_pos_2	positive
9_gourmet_pos_3	positive
9_gourmet_pos_4	positive
9_gourmet_pos_5	positive
9_gourmet_pos_6	positive
9_gourmet_pos_7	positive
9_gourmet_pos_8	positive
9_gourmet_pos_9	positive
9_gourmet_pos_10	positive
9_gourmet_pos_11	positive
9_gourmet_pos_12	positive
9_gourmet_pos_13	positive
9_gourmet_pos_14	negative
9_gourmet_pos_15	negative
9_gourmet_pos_16	positive
9_gourmet_pos_17	positive
9_gourmet_pos_18	positive
9_gourmet_pos_19	positive
9_gourmet_pos_20	positive
9_gourmet_pos_21	positive
9_gourmet_pos_22	positive
9_gourmet_pos_23	positive
9_gourmet_pos_24	positive
9_gourmet_pos_25	positive
9_gourmet_pos_26	positive
9_gourmet_pos_27	positive
9_gourmet_pos_28	positive
9_gourmet_pos_29	positive
9_gourmet_pos_30	positive
9_gourmet_pos_31	positive
9_gourmet_pos_32	positive
9_gourmet_pos_33	positive
9_gourmet_pos_34	positive
9_gourmet_pos_35	positive
9_gourmet_pos_36	positive
9_gourmet_pos_37	positive
9_gourmet_pos_38	positive
9_gourmet_pos_39	positive
9_gourmet_pos_40	positive
9_gourmet_pos_41	positive
9_gourmet_pos_42	positive
9_gourmet_pos_43	positive
9_gourmet_pos_44	positive
9_gourmet_pos_45	positive
9_gourmet_pos_46	positive
9_gourmet_pos_47	positive
9_gourmet_pos_48	positive
9_gourmet_pos_49	negative
9_gourmet_pos_50	positive
9_gourmet_pos_51	positive
9_gourmet_pos_52	positive
9_gourmet_pos_53	negative
9_gourmet_pos_54	positive
9_gourmet_pos_55	positive
9_gourmet_pos_56	positive
9_gourmet_pos_57	positive
9_gourmet_pos_58	positive
9_gourmet_pos_59	positive
9_gourmet_pos_60	positive
9_gourmet_pos_61	positive
9_gourmet_pos_62	positive
9_gourmet_pos_63	positive
9_gourmet_pos_64	positive
9_gourmet_pos_65	positive
9_gourmet_pos_66	positive
9_gourmet_pos_67	positive
9_gourmet_pos_68	positive
9_gourmet_pos_69	negative
9_gourmet_pos_70	negative
9_gourmet_pos_71	negative
9_gourmet_pos_72	positive
6_gourmet_neg_1	negative
6_gourmet_neg_2	negative
6_gourmet_neg_3	negative
6_gourmet_neg_4	negative
6_gourmet_neg_5	negative
6_gourmet_neg_6	negative
6_gourmet_neg_7	negative
6_gourmet_neg_8	negative
6_gourmet_neg_9	negative
6_gourmet_neg_10	negative
6_gourmet_neg_11	negative
6_gourmet_neg_12	negative
6_gourmet_neg_13	negative
6_gourmet_neg_14	negative
6_gourmet_neg_15	negative
6_gourmet_neg_16	negative
6_gourmet_neg_17	negative
6_gourmet_neg_18	negative
6_gourmet_neg_19	negative
6_gourmet_neg_20	negative
6_gourmet_neg_21	negative
6_gourmet_neg_22	negative
6_gourmet_neg_23	negative
6_gourmet_neg_24	negative
6_gourmet_neg_25	negative
6_gourmet_neg_26	negative
6_gourmet_neg_27	negative
6_gourmet_neg_28	negative
6_gourmet_neg_29	negative
6_gourmet_neg_30	negative
6_gourmet_neg_31	negative
6_gourmet_neg_32	negative
6_gourmet_neg_33	negative
11_cell_neg_1	negative
11_cell_neg_2	negative
11_cell_neg_3	positive
11_cell_neg_4	positive
11_cell_neg_5	positive
11_cell_neg_6	positive
11_cell_neg_7	positive
11_cell_neg_8	positive
11_cell_neg_9	negative
11_cell_neg_10	positive
11_cell_neg_11	negative
11_cell_neg_12	negative
11_cell_neg_13	negative
11_cell_neg_14	negative
11_cell_neg_15	negative
11_cell_neg_16	negative
11_cell_neg_17	negative
11_cell_neg_18	negative
11_cell_neg_19	negative
11_cell_neg_20	negative
11_cell_neg_21	negative
11_cell_neg_22	negative
11_cell_neg_23	negative
11_cell_neg_24	negative
11_cell_neg_25	negative
11_cell_neg_26	negative
11_cell_neg_27	negative
11_cell_neg_28	negative
11_cell_neg_29	negative
11_cell_neg_30	negative
11_cell_neg_31	negative
11_cell_neg_32	negative
11_cell_neg_33	negative
11_cell_neg_34	negative
11_cell_neg_35	negative
11_cell_neg_36	negative
11_cell_neg_37	negative
11_cell_neg_38	negative
11_cell_neg_39	negative
11_cell_neg_40	negative
11_cell_neg_41	negative
11_cell_neg_42	negative
11_cell_neg_43	negative
11_cell_neg_44	negative
11_cell_neg_45	negative
11_cell_neg_46	negative
11_cell_neg_47	negative
11_cell_neg_48	negative
11_cell_neg_49	negative
11_cell_neg_50	negative
19_cell_pos_1	positive
19_cell_pos_2	positive
19_cell_pos_3	positive
19_cell_pos_4	positive
19_cell_pos_5	positive
19_cell_pos_6	positive
19_cell_pos_7	positive
19_cell_pos_8	positive
19_cell_pos_9	positive
19_cell_pos_10	positive
19_cell_pos_11	negative
19_cell_pos_12	negative
19_cell_pos_13	positive
19_cell_pos_14	negative
19_cell_pos_15	positive
19_cell_pos_16	positive
19_cell_pos_17	positive
19_cell_pos_18	positive
19_cell_pos_19	positive
19_cell_pos_20	positive
19_cell_pos_21	positive
19_cell_pos_22	positive
19_cell_pos_23	positive
19_cell_pos_24	negative
19_cell_pos_25	negative
19_cell_pos_26	negative
19_cell_pos_27	negative
19_cell_pos_28	negative
19_cell_pos_29	positive
19_cell_pos_30	positive
19_cell_pos_31	positive
19_cell_pos_32	positive
19_cell_pos_33	positive
19_cell_pos_34	positive
19_cell_pos_35	positive
19_cell_pos_36	positive
19_cell_pos_37	positive
19_cell_pos_38	positive
19_cell_pos_39	positive
19_cell_pos_40	positive
19_cell_pos_41	positive
19_cell_pos_42	positive
19_cell_pos_43	positive
19_cell_pos_44	negative
19_cell_pos_45	positive
19_cell_pos_46	positive
19_cell_pos_47	negative
19_cell_pos_48	negative
19_cell_pos_49	negative
19_cell_pos_50	negative
19_cell_pos_51	negative
19_cell_pos_52	negative
19_cell_pos_53	negative
19_cell_pos_54	negative
19_cell_pos_55	negative
19_cell_pos_56	negative
19_cell_pos_57	negative
19_cell_pos_58	negative
19_cell_pos_59	negative
19_cell_pos_60	positive
19_cell_pos_61	positive
19_cell_pos_62	positive
19_cell_pos_63	positive
19_cell_pos_64	positive
19_cell_pos_65	negative
19_cell_pos_66	positive
19_cell_pos_67	positive
10_kitchen_pos_1	positive
10_kitchen_pos_2	positive
10_kitchen_pos_3	positive
10_kitchen_pos_4	positive
10_kitchen_pos_5	positive
10_kitchen_pos_6	positive
10_kitchen_pos_7	positive
10_kitchen_pos_8	positive
10_kitchen_pos_9	positive
10_kitchen_pos_10	positive
10_kitchen_pos_11	positive
10_kitchen_pos_12	positive
10_kitchen_pos_13	positive
10_kitchen_pos_14	positive
10_kitchen_pos_15	positive
10_kitchen_pos_16	positive
10_kitchen_pos_17	positive
10_kitchen_pos_18	positive
10_kitchen_pos_19	negative
10_kitchen_pos_20	negative
10_kitchen_pos_21	negative
10_kitchen_pos_22	positive
10_kitchen_pos_23	positive
10_kitchen_pos_24	positive
10_kitchen_pos_25	positive
10_kitchen_pos_26	positive
10_kitchen_pos_27	positive
10_kitchen_pos_28	positive
10_kitchen_pos_29	positive
10_kitchen_pos_30	positive
10_kitchen_pos_31	positive
10_kitchen_pos_32	positive
10_kitchen_pos_33	positive
10_kitchen_pos_34	positive
10_kitchen_pos_35	positive
10_kitchen_pos_36	positive
10_kitchen_pos_37	negative
10_kitchen_pos_38	negative
10_kitchen_pos_39	negative
10_kitchen_pos_40	positive
10_kitchen_pos_41	positive
10_kitchen_pos_42	positive
10_kitchen_pos_43	positive
10_kitchen_pos_44	positive
10_kitchen_pos_45	positive
10_kitchen_pos_46	positive
10_kitchen_pos_47	positive
10_kitchen_pos_48	positive
10_kitchen_pos_49	positive
10_kitchen_pos_50	positive
10_kitchen_pos_51	positive
10_kitchen_pos_52	positive
10_kitchen_pos_53	positive
10_kitchen_pos_54	positive
10_kitchen_pos_55	positive
10_kitchen_pos_56	positive
10_kitchen_pos_57	positive
10_kitchen_pos_58	positive
10_kitchen_pos_59	positive
10_kitchen_pos_60	positive
10_kitchen_pos_61	positive
10_kitchen_pos_62	positive
10_kitchen_pos_63	positive
10_kitchen_pos_64	negative
10_kitchen_pos_65	negative
10_kitchen_pos_66	negative
10_kitchen_pos_67	negative
10_kitchen_pos_68	positive
10_kitchen_pos_69	positive
10_kitchen_pos_70	positive
10_kitchen_pos_71	positive
10_kitchen_pos_72	positive
10_kitchen_pos_73	positive
10_kitchen_pos_74	positive
10_kitchen_pos_75	positive
10_kitchen_pos_76	positive
10_kitchen_pos_77	positive
10_kitchen_pos_78	positive
10_kitchen_pos_79	positive
10_kitchen_pos_80	positive
14_kitchen_neg_1	negative
14_kitchen_neg_2	negative
14_kitchen_neg_3	negative
14_kitchen_neg_4	negative
14_kitchen_neg_5	negative
14_kitchen_neg_6	negative
14_kitchen_neg_7	positive
14_kitchen_neg_8	positive
14_kitchen_neg_9	positive
14_kitchen_neg_10	positive
14_kitchen_neg_11	negative
14_kitchen_neg_12	negative
14_kitchen_neg_13	negative
14_kitchen_neg_14	negative
14_kitchen_neg_15	negative
14_kitchen_neg_16	negative
14_kitchen_neg_17	negative
14_kitchen_neg_18	negative
14_kitchen_neg_19	negative
14_kitchen_neg_20	negative
14_kitchen_neg_21	negative
14_kitchen_neg_22	negative
14_kitchen_neg_23	negative
14_kitchen_neg_24	negative
14_kitchen_neg_25	negative
14_kitchen_neg_26	negative
14_kitchen_neg_27	negative
14_kitchen_neg_28	negative
14_kitchen_neg_29	negative
14_kitchen_neg_30	negative
14_kitchen_neg_31	positive
14_kitchen_neg_32	negative
14_kitchen_neg_33	negative
14_kitchen_neg_34	negative
14_kitchen_neg_35	negative
14_kitchen_neg_36	negative
14_kitchen_neg_37	negative
14_kitchen_neg_38	negative
14_kitchen_neg_39	negative
14_kitchen_neg_40	negative
14_kitchen_neg_41	negative
14_kitchen_neg_42	negative
14_kitchen_neg_43	negative
14_kitchen_neg_44	negative
14_kitchen_neg_45	negative
14_kitchen_neg_46	negative
14_kitchen_neg_47	negative
14_kitchen_neg_48	negative
14_kitchen_neg_49	negative
14_kitchen_neg_50	negative
14_kitchen_neg_51	negative
14_kitchen_neg_52	negative
14_kitchen_neg_53	negative
14_kitchen_neg_54	negative
14_kitchen_neg_55	negative
14_kitchen_neg_56	negative
14_kitchen_neg_57	negative
14_kitchen_neg_58	negative
10_gourmet_pos_1	positive
10_gourmet_pos_2	positive
10_gourmet_pos_3	positive
10_gourmet_pos_4	positive
10_gourmet_pos_5	positive
10_gourmet_pos_6	positive
10_gourmet_pos_7	positive
10_gourmet_pos_8	positive
10_gourmet_pos_9	positive
10_gourmet_pos_10	positive
10_gourmet_pos_11	positive
10_gourmet_pos_12	positive
10_gourmet_pos_13	positive
10_gourmet_pos_14	positive
10_gourmet_pos_15	negative
10_gourmet_pos_16	negative
10_gourmet_pos_17	positive
10_gourmet_pos_18	positive
10_gourmet_pos_19	positive
10_gourmet_pos_20	positive
10_gourmet_pos_21	positive
10_gourmet_pos_22	positive
10_gourmet_pos_23	positive
10_gourmet_pos_24	positive
10_gourmet_pos_25	positive
10_gourmet_pos_26	positive
10_gourmet_pos_27	negative
10_gourmet_pos_28	negative
10_gourmet_pos_29	negative
10_gourmet_pos_30	negative
10_gourmet_pos_31	positive
10_gourmet_pos_32	positive
10_gourmet_pos_33	negative
10_gourmet_pos_34	positive
10_gourmet_pos_35	negative
10_gourmet_pos_36	negative
10_gourmet_pos_37	negative
10_gourmet_pos_38	positive
10_gourmet_pos_39	positive
10_gourmet_pos_40	positive
10_gourmet_pos_41	negative
10_gourmet_pos_42	negative
10_gourmet_pos_43	negative
10_gourmet_pos_44	positive
2_gourmet_neg_1	negative
2_gourmet_neg_2	negative
2_gourmet_neg_3	negative
2_gourmet_neg_4	negative
2_gourmet_neg_5	negative
2_gourmet_neg_6	negative
2_gourmet_neg_7	negative
2_gourmet_neg_8	negative
2_gourmet_neg_9	negative
2_gourmet_neg_10	negative
2_gourmet_neg_11	negative
2_gourmet_neg_12	negative
2_gourmet_neg_13	negative
2_gourmet_neg_14	negative
2_gourmet_neg_15	negative
2_gourmet_neg_16	negative
2_gourmet_neg_17	negative
2_gourmet_neg_18	negative
2_gourmet_neg_19	negative
2_gourmet_neg_20	negative
2_gourmet_neg_21	negative
2_gourmet_neg_22	negative
2_gourmet_neg_23	negative
2_gourmet_neg_24	negative
2_gourmet_neg_25	negative
2_gourmet_neg_26	negative
2_gourmet_neg_27	negative
2_gourmet_neg_28	negative
2_gourmet_neg_29	negative
2_gourmet_neg_30	negative
